_id,intitule,localisation,date_debut,date_fin,replacement_or_creation,presentiel_distanciel,isClosed,daysPlanned,forfait_remuneration
656ca1bf843c536c576b92c4,formation Qualiopi,Oloron Sainte-Marie,03/10/2023,24/11/2023,Création,presentiel,TRUE,,hourly
656a06f9843c536c576b8eda,Management & Leadership,Bordeaux,15/05/2024,15/05/2024,Création de poste,,FALSE,,hourly
6569f99411ad9c29f93181cd,Management et Ressources Humaines,Bordeaux,05/12/2023,19/12/2023,reconduction,presentiel,FALSE,,hourly
6569f6d111ad9c29f93181bd,Jury : LV2 Italien,Bordeaux,07/06/2023,07/06/2023,Création,,FALSE,,hourly
6569f6a511ad9c29f93181bc,"Jury ""entretien professionnel"" : rapports d'activité",Bordeaux,25/05/2023,25/05/2023,Création,presentiel,FALSE,,hourly
6569f60811ad9c29f93181b6,Management interculturel,Bordeaux,14/11/2023,14/11/2023,Création de poste,presentiel,FALSE,,hourly
6569e95e11ad9c29f9318186,"Gestion des risques intern & réglementation douanières, incoterms Niveau Expert.",Bordeaux,02/01/2024,30/04/2024,Reconduction,,FALSE,,hourly
65688f5711ad9c29f9317dfb,Jury marketing,Bordeaux ,30/11/2023,30/11/2023,Création,presentiel,FALSE,,hourly
65688f5211ad9c29f9317dfa,Jury marketing,Bordeaux ,30/11/2023,30/11/2023,Création,presentiel,FALSE,,hourly
65688f4e11ad9c29f9317df9,Jury marketing,Bordeaux ,30/11/2023,30/11/2023,Création,presentiel,FALSE,,hourly
65688f4a11ad9c29f9317df8,Jury marketing,Bordeaux ,30/11/2023,30/11/2023,Création,presentiel,FALSE,,hourly
65674e826df3a711cd4950b4,Processus de l’Amélioration continue,Bordeaux,04/12/2023,30/06/2024,création de poste,presentiel,FALSE,,hourly
6566e1a96df3a711cd494f52,Jury projet développement durable,,31/01/2024,31/01/2024,Création,presentiel,FALSE,,hourly
656460f5ddcee07998d00fc9,"Big data, collecte et traitement des données",Lyon,12/02/2024,29/03/2024,Création,presentiel,FALSE,,hourly
6561ec2eddcee07998d00d3e,Univers Métaverse et IA,Toulouse,02/04/2024,13/06/2024,Création,presentiel_plus_or_distanciel_minus,FALSE,,hourly
6560a72b4054c942bf3e920d,Le transport routier de marchandises,Bourges (Centre-Val de Loire 18000),27/09/2023,27/09/2023,Création,presentiel,FALSE,,hourly
6560845c4054c942bf3e91de,Séminaire Projet (marketing stratégique),Bordeaux,28/09/2023,30/04/2024,Création,presentiel,FALSE,,hourly
65605dea4054c942bf3e91af,Cours avancé de Développement Web avec JavaScript,"Bordeaux, France",30/11/2023,15/01/2024,Création,presentiel_plus_distanciel_minus,TRUE,,hourly
655fe488664767233f96a75b,Introduction au Développement Web avec JavaScript,"Bordeaux, France",27/11/2023,18/01/2024,Création,presentiel_plus_distanciel_minus,TRUE,,hourly
655e37004c24a02f8f55e8f2,DAF / RAF,Bordeaux,28/04/2023,31/12/2023,Création de poste,,TRUE,30,daily
655e36fc4c24a02f8f55e8f1,DAF / RAF,Bordeaux,28/04/2023,31/12/2023,Création de poste,,FALSE,30,hourly
655e03094c24a02f8f55e858,Culture et médias spécialisés,Bordeaux,20/11/2023,18/12/2023,Création de poste,,FALSE,,hourly
655dce360972f25b9dfca8ef,Coach BBC,Bordeaux,02/10/2023,31/05/2024,Autre,,FALSE,,hourly
655dce180972f25b9dfca8eb,Coach BBC,Bordeaux,02/10/2023,31/05/2024,Autre,,FALSE,,hourly
655b62e2203e6a22c9ef071c,Gestion administrative et comptable RH,Lyon,06/11/2023,31/03/2024,Création,presentiel,FALSE,,hourly
