"Id_Utilisateur","Type","Date","Mise_à_Jour","Domaine_D'activité","Branche","Niveau_D'étude","Titre_Étude","Location","Mobilité","Tarif_Journalier_Minimum","Tarif_Journalier_Maximum","Tarif_Heure_Minimum","Tarif_Heure_Maximum","Expériences","Visibilité","Pourcentage_Profil_Complété","Import_LinkedIn","Années_D'expériences","Done","Géographie"
"656997ac11ad9c29f93180b1","expert","01/11/2023","2023-12-01T10:34:32.3070000","Informatique / Télécoms","Informatique et Cybersécurité","Bac5","Ingénieur","Toulouse et périphérie","International","500","500","41","72","[{""date"":612396000000,""dateEnd"":1688421600000,""company"":""Airbus Defence and Space"",""job"":""Senior Software Architect / System engineer"",""descriptionExp"":""Compétences : Communication écrite · Cycle en V · Exigences non fonctionnelles · Exigences logicielles · Architecture · C (langage de programmation) · Structure des données · Ensemble de compétences techniques · Scrum · Programmation orientée objet (POO) · Systèmes distribués · Sécurité · Framework Spring · Secteur de la défense · Discussions techniques · Exigences produit · Documentation · Encadrement de projets techniques · Niveau élevé de précision · Logiciel embarqué · Leadership technique · Curiosité intellectuelle · Test unitaire · Outils de développement · Spécifications fonctionnelles · Ingénierie des exigences""},{""date"":1525125600000,""dateEnd"":"""",""company"":""Free lance"",""job"":""Formateur en développement logiciel"",""descriptionExp"":""Sécurité des objets connectés, technologies et frameworks de développement logiciel (Spring, JEE (JPA, EJB, Servlets, ....","TRUE","1","TRUE","+ de 25 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[1.444209,43.604652]}}"
"6569016711ad9c29f9317f81","expert","30/10/2023","2023-12-01T13:59:47.7420002","Commerce / Négoce / Distribution","Marketing et communication","Bac5","MBA de marketing","Saint-Étienne, Loire, Lyon, paris,","Nationale","250","250","16","250","[{""date"":1172703600000,""dateEnd"":1565820000000,""company"":""ICP-TEXINFINE"",""job"":""Directrice Marketing et Développement"",""descriptionExp"":""Définition de la stratégie de l’entreprise.\r\nLancement de gamme de compléments\r\nalimentaires, cosmétiques, dispositifs\r\nmédicaux... Mise en place des opérations\r\ncommerciales et marketing avec les partenaires\r\net les distributeurs. Rédaction et création\r\nd'outils d'aide à la vente: notices, catalogues,\r\nflyers, site... Recrutement, formation et\r\nmanagement. Gestion de la politique de prix et\r\ndes conditions de vente. Développerment des\r\nventes en France et à l'étranger...""}]","TRUE","1","FALSE","+ de 25 ans","TRUE","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[2.3522219,48.856614]}}"
"6566fc106df3a711cd494ff6","expert","29/10/2023","2023-12-01T08:44:49.5630000","Industrie","Commerce","Bac5","Master  - Ecole de commerce","Paris","International","540","1500","50","250","[{""date"":1356994800000,""dateEnd"":1598824800000,""company"":""Owens Corning"",""job"":""Directeur commercial"",""descriptionExp"":""Accélération de la croissance profitable d'un business de € 200 M sur la zone EMEA.\r\nMontée en compétence de l'équipe commerciale et réorganisation de l'équipe\r\nGestion de crise\r\nGestion des grands comptes et de distributeurs\r\nNégociations de contrats et de partenariats\r\n""},{""date"":1598911200000,""dateEnd"":1703977200000,""company"":""Dragonskal"",""job"":""Responsable commercial"",""descriptionExp"":""Définition de la stratégie commerciale\r\nIdentification des marchés cibles et de nouvelles applications\r\nLancement de produits et action de communication\r\nBusiness développement.""}]","TRUE","1","FALSE","+ de 25 ans","TRUE","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[2.3522219,48.856614]}}"
"6564a618ddcee07998d010c1","expert","27/10/2023","2023-11-27T14:45:59.5990000","Commerce / Négoce / Distribution","Commerce","Bac5","Master e-business","Bordeaux, France","Locale","250","2500","10","397","[{""date"":1414796400000,""dateEnd"":1511996400000,""company"":""Agence web"",""job"":""Chef de projet "",""descriptionExp"":""test""},{""date"":1509490800000,""dateEnd"":1701298800000,""company"":""Biason groupe"",""job"":""reponsable e-commerce"",""descriptionExp"":""test""}]","TRUE","1","FALSE","Entre 5 et 10 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-0.57918,44.837789]}}"
"6564676fddcee07998d01000","expert","27/10/2023","2023-11-27T15:47:33.0690000","Métallurgie / Travail du métal","Juridique","CAP, BEP","aaaaaa","Paris, France","Locale","490","1220","93","132","[{""date"":1685570400000,""dateEnd"":1699311600000,""company"":""société"",""job"":""Dev"",""descriptionExp"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}]","TRUE","1","FALSE","Entre 5 et 10 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[2.3522219,48.856614]}}"
"6563746fddcee07998d00ebf","expert","26/10/2023","2023-11-26T17:21:19.0390000","Commerce / Négoce / Distribution","Commerce","Bac2"," BTS ASSISTANTE DE GESTION PME-PMI","SALLES","Locale","250","1500","30","250","[{""date"":1425164400000,""dateEnd"":1569880800000,""company"":""Caroll"",""job"":""Responsable Magasin"",""descriptionExp"":""Gestion d'un magasin""}]","TRUE","1","FALSE","Entre 15 et 25 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-0.8699302,44.5520405]}}"
"6560d335ddcee07998d00b35","expert","24/10/2023","2023-11-27T16:31:00.1050000","Enseignement / Recherche / Formation","Autre","Bac3","Licence Professionnelle Management des Organisations du Secteur Associatif ","Villefranche-sur-Saône, France","Régional","400","800","50","100","[{""date"":1388593440000,""dateEnd"":1443713040000,""company"":""Mairie"",""job"":""Responsable service jeunesse -Point Information Jeunesse"",""descriptionExp"":"""",""city"":""Belleville""},{""job"":""Coordinateur Enfance Jeunesse- Responsable du service mutualisé mairie/CCSB Enfance Jeunesse"",""company"":""Communauté de communes"",""city"":""Saône-Beaujolais"",""date"":1443713100000,""dateEnd"":1577895900000},{""date"":1577895960000,""job"":""Formateur Numérique"",""company"":""FORMA - TIC sas "",""city"":""Beaujeu"",""descriptionExp"":""- Accompagnant numérique des demandeurs d’emploi dans leur recherche d’emploi\n- Formateur bureautique sur des ateliers pack office Microsoft\n- Accompagnant numérique sur les actions en lien avec la Politique de la Ville\n- Accompagnant numérique sur les actions Vacances apprenantes \""1 semaine pour l'orientation\""; '1 semaine pour l'apprentissage'""},{""descriptionExp"":""Formateur Bureautique pour différentes sessions de formation aux Titres Professionnels suivants:\n- TP Assistant Commercial\n- TP Conseiller Commercial\n...","FALSE","67","FALSE","Entre 10 et 15 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[4.718821,45.991471]}}"
"6560b6a1ddcee07998d00abc","expert","24/10/2023","2023-11-25T17:34:43.9020000","Enseignement / Recherche / Formation","Autre","Bac3","Licence d'anglais LLCE ","Nantes, France","Locale","260","450","18","40","[{""date"":null,""dateEnd"":null,""company"":""Éducation nationale "",""job"":""Professeur d'anglais-lettres"",""descriptionExp"":""J'avais des classes en responsabilité au sein de lycées professionnels""}]","FALSE","83","FALSE","Entre 15 et 25 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-1.553621,47.218371]}}"
"656077064054c942bf3e91c7","expert","24/10/2023","2023-11-30T09:24:00.6889998","Management","Autre","Bac5","Master  Entrepreneuriat et Management de projets","Bordeaux, France","Régional","400","1500","50","250","[{""date"":1574895600000,""dateEnd"":"""",""company"":""ARCHIMAID "",""job"":""Fondatrice ARCHIMAID "",""descriptionExp"":""Conception et Développement de l'Idee : Identifier des opportunités, développer des concepts novateurs, et élaborer une vision claire pour l'entreprise.\r\nPlanification Stratégique : Élaborer une stratégie globale, définir des objectifs à court et long terme, et concevoir des plans d'action pour les atteindre.\r\nGestion Financière : Élaborer des budgets, gérer les flux de trésorerie, et prendre des décisions financières judicieuses pour assurer la viabilité économique de l'entreprise.\r\nDéveloppement Commercial : Élaborer des plans de marketing, identifier des opportunités de croissance, et développer des partenariats stratégiques pour élargir la clientèle.\r\nGestion des Ressources Humaines : Recruter, former, et motiver une équipe performante. La gestion des talents et des compétences est cruciale.\r\nGestion Opérationnelle : Superviser les opérations quotidiennes, optimiser les processus, et gar...","TRUE","1","FALSE","Entre 5 et 10 ans","TRUE","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-0.57918,44.837789]}}"
"655f73524c24a02f8f55eb0a","expert","23/10/2023","2023-11-23T16:43:00.1240000","Études et conseils","Autre","Bac5"," Master en Expertise Internationale (parcours Affaires Internationales)","Nantes, France","International","800","1600","100","300","[{""date"":1454281200000,""dateEnd"":1569880800000,""company"":""CMA CGM"",""job"":""eCommerce Regional Office Manager"",""descriptionExp"":""Gérer 9 bureaux régionaux (43 employés à temps plein dans le monde) et suivre leur performance commerciale.\r\nRéaliser des transformations complexes au sein des bureaux régionaux à l'échelle mondiale.\r\nCoordonner l'alignement de l'organisation interne.\r\nDéfinir la stratégie commerciale et assurer la réalisation des objectifs commerciaux pour l'offre de produits eCommerce.\r\nDéterminer les approches commerciales à l'échelle mondiale.""},{""date"":1569880800000,""dateEnd"":1673823600000,""company"":""Sopra Steria Next"",""job"":""Industry Account Manager & Head of Innovative Business Model"",""descriptionExp"":""Gérer les agents du changement (8 consultants) travaillant sur le programme Digital Design Manufacturing and Services pour Next Gen (A350) & SAF3 (A320), définissant la stratégie de gestion du changement pour plus de 20 000 personnes.\r\nFournir un cadre stratégique sur la gestion du c...","TRUE","1","FALSE","Entre 10 et 15 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-1.553621,47.218371]}}"
"655f253c4c24a02f8f55ea8d","expert","23/10/2023","2023-11-30T16:08:00.7050000","Édition / Communication / Information","Marketing et communication","Bac5","Master en Science du Marketing et du Brand Management","Marseille, France","Locale","250","1250","50","120","[{""date"":1551654000000,""dateEnd"":1567116000000,""company"":""Qwetch"",""job"":""Chef de projet marketing"",""descriptionExp"":""Mise en place de la stratégie communication/marketing, conception et réalisation des shootings photos, réalisation de campagne d'influence, pilotage de projets évènementiels""},{""date"":1578265200000,""dateEnd"":1593122400000,""company"":""Northsky Films"",""job"":""Chargée de communication"",""descriptionExp"":""Gestion des réseaux sociaux et de l'image, créations de contenus photo et vidéos, élaboration de newsletter, participation à l'organisation d'évènements""},{""date"":1630879200000,""dateEnd"":1672354800000,""company"":""WoW Agency"",""job"":""Community Manager"",""descriptionExp"":""Gestion des réseaux sociaux des clients de l'agence, réalisation des shootings photos, création de contenus photos et vidéos, animation des communautés""},{""date"":1598911200000,""dateEnd"":1701298800000,""company"":""Bichettes Communication"",""job"":""Co-directrice d'agence"",""descriptionExp"":""Gestion des équipes, animation des réseaux sociaux ...","TRUE","1","FALSE","Entre 5 et 10 ans","TRUE","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[5.36978,43.296482]}}"
"655cf8c20972f25b9dfca7f5","expert","21/10/2023","2023-11-21T18:56:21.1910000","Industrie","Production","Bac5","Ingénieur généraliste domaine Mécatronique et Robotique","Inconnu","Régional","400","800","40","80","[]","TRUE","1","FALSE","Entre 5 et 10 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-0.57918,44.837789]}}"
"655cd9d60972f25b9dfca7a6","expert","21/10/2023","2023-11-27T14:16:06.7800000","Informatique / Télécoms","Commerce","Bac4","Master Coach Professionnel RNCP6 ","BORDEAUX","Régional","450","1500","100","250","[{""date"":1483311600000,""dateEnd"":1665525600000,""company"":""Samsung Electronics France "",""job"":""Chef des ventes national "",""descriptionExp"":""•\tManagement d'équipe, 10 personnes, suivi des performances au niveau individuel et collectif.\r\n.       Formation tertiaire\r\n•\tAnalyse des remontées terrain et des retours clients, recherche de leviers pour améliorer les performances.\r\n•\tAnimation de réunions commerciales physiques et en distanciel, création de supports de présentation.\r\n•\tDéveloppement de nouveaux marchés B2B, mise en place et suivi des plans d'actions de conquête.\r\n""},{""date"":1062367200000,""dateEnd"":1125525600000,""company"":""NEC"",""job"":""Responsable de compte"",""descriptionExp"":""• Négociation des référencements, contrats cadres, marchandising en centrale d'achats grand public.\r\n• Analyse des besoins et des attentes des clients avec proposition de solutions personnalisées. ""},{""date"":946681200000,""dateEnd"":1062367200000,""company"":""Hewlett Packard"",""job"":""Responsable de compte"",""description...","TRUE","1","FALSE","Entre 15 et 25 ans","TRUE","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[-0.57918,44.837789]}}"
"655cc8830972f25b9dfca77c","expert","21/10/2023","2023-11-21T15:57:35.2909998","Informatique / Télécoms","Autre","Bac5","Ingénieur Polytech'Marseille","Lyon, France","Nationale","600","750","50","250","[{""date"":"""",""dateEnd"":"""",""company"":"""",""job"":"""",""descriptionExp"":""""}]","FALSE","83","FALSE","Entre 15 et 25 ans","Inconnu","{""localized"":true,""localizationSuccess"":true,""location"":{""type"":""Point"",""coordinates"":[4.835659,45.764043]}}"
