"_id","Civilité","Découverte_Akigora","Mailing","SMS","Date_de_Création","Date_Mise_à_Jour","Acceptation_CGU","Validation_Email"
"656dbf85843c536c576b944a","female","parrainage","TRUE","TRUE","04/11/2023","04/12/2023","VRAI","TRUE"
"656db268843c536c576b943b","male","bouche à oreille","FALSE","FALSE","04/11/2023","04/12/2023","VRAI","TRUE"
"656c999b843c536c576b92b7","female","bouche à oreille","TRUE","FALSE","03/11/2023","03/12/2023","VRAI","TRUE"
"656a3826843c536c576b8f55","male","bouche à oreille","FALSE","FALSE","01/11/2023","04/12/2023","VRAI","TRUE"
"656a0b86843c536c576b8ef4","male","bouche à oreille","FALSE","FALSE","01/11/2023","01/12/2023","VRAI","TRUE"
"656997ac11ad9c29f93180b1","male","linkedin","TRUE","TRUE","01/11/2023","01/12/2023","VRAI","TRUE"
"6569016711ad9c29f9317f81","female","recherche web","TRUE","TRUE","30/10/2023","30/11/2023","VRAI","TRUE"
"6568c29411ad9c29f9317ea0","male","bouche à oreille","TRUE","FALSE","30/10/2023","30/11/2023","VRAI","TRUE"
"65687d2711ad9c29f9317dd7","male","entreprise partenaire","TRUE","TRUE","30/10/2023","30/11/2023","VRAI","TRUE"
"65684ae76df3a711cd4951e5","male","linkedin","TRUE","TRUE","30/10/2023","30/11/2023","VRAI","TRUE"
"65679f206df3a711cd495148","female","bouche à oreille","TRUE","FALSE","29/10/2023","29/11/2023","VRAI","TRUE"
"6567845a6df3a711cd49512e","male","bouche à oreille","FALSE","FALSE","29/10/2023","01/12/2023","VRAI","TRUE"
"6567795f6df3a711cd495124","female","linkedin","TRUE","TRUE","29/10/2023","01/12/2023","VRAI","TRUE"
"65675f556df3a711cd4950df","female","bouche à oreille","FALSE","FALSE","29/10/2023","30/11/2023","VRAI","TRUE"
"6566fc106df3a711cd494ff6","male","autre","FALSE","TRUE","29/10/2023","01/12/2023","VRAI","TRUE"
"6565ad256df3a711cd494dcd","female","linkedin","FALSE","FALSE","28/10/2023","28/11/2023","VRAI","TRUE"
"6564bb866df3a711cd494c47","male","bouche à oreille","FALSE","FALSE","27/10/2023","30/11/2023","VRAI","TRUE"
"6564ba586df3a711cd494c42","male","linkedin","FALSE","FALSE","27/10/2023","30/11/2023","VRAI","TRUE"
"6564b5f46df3a711cd494c2e","male","bouche à oreille","FALSE","FALSE","27/10/2023","04/12/2023","VRAI","TRUE"
"6564b1d2ddcee07998d010d0","female","autre","FALSE","FALSE","27/10/2023","27/11/2023","VRAI","TRUE"
"6564a618ddcee07998d010c1","male","bouche à oreille","FALSE","TRUE","27/10/2023","04/12/2023","VRAI","TRUE"
"6564676fddcee07998d01000","female","autre","FALSE","FALSE","27/10/2023","04/12/2023","VRAI","TRUE"
"656466fdddcee07998d00ffc","female","autre","FALSE","FALSE","27/10/2023","30/11/2023","VRAI","TRUE"
"6563a064ddcee07998d00ed8","female","linkedin","FALSE","FALSE","26/10/2023","26/11/2023","VRAI","TRUE"
"6563746fddcee07998d00ebf","female","bouche à oreille","FALSE","FALSE","26/10/2023","26/11/2023","VRAI","TRUE"
"6560d335ddcee07998d00b35","male","linkedin","FALSE","TRUE","24/10/2023","26/11/2023","VRAI","TRUE"
"6560b6a1ddcee07998d00abc","male","autre","TRUE","TRUE","24/10/2023","25/11/2023","VRAI","TRUE"
"6560b29addcee07998d00ab9","female","parrainage","TRUE","TRUE","24/10/2023","04/12/2023","VRAI","TRUE"
"656077064054c942bf3e91c7","female","parrainage","FALSE","TRUE","24/10/2023","30/11/2023","VRAI","TRUE"
"655f89da4c24a02f8f55eb18","female","bouche à oreille","TRUE","FALSE","23/10/2023","29/11/2023","VRAI","TRUE"
"655f73524c24a02f8f55eb0a","female","autre","FALSE","FALSE","23/10/2023","23/11/2023","VRAI","TRUE"
"655f253c4c24a02f8f55ea8d","female","bouche à oreille","FALSE","FALSE","23/10/2023","30/11/2023","VRAI","TRUE"
"655dc5300972f25b9dfca8d9","female","autre","FALSE","FALSE","22/10/2023","22/11/2023","VRAI","TRUE"
"655cd9d60972f25b9dfca7a6","female","bouche à oreille","TRUE","FALSE","21/10/2023","27/11/2023","VRAI","TRUE"
"655cceb60972f25b9dfca78e","female","bouche à oreille","FALSE","FALSE","21/10/2023","21/11/2023","VRAI","TRUE"
"655cc9a40972f25b9dfca77f","male","linkedin","FALSE","FALSE","21/10/2023","21/11/2023","VRAI","TRUE"
"655cc8830972f25b9dfca77c","male","linkedin","FALSE","FALSE","21/10/2023","29/11/2023","VRAI","TRUE"
"655cbc380972f25b9dfca74c","male","bouche à oreille","TRUE","FALSE","21/10/2023","21/11/2023","VRAI","TRUE"
"655ca1880972f25b9dfca6f6","male","linkedin","FALSE","FALSE","21/10/2023","21/11/2023","VRAI","TRUE"
"655c81e70972f25b9dfca68b","male","linkedin","TRUE","FALSE","21/10/2023","21/11/2023","VRAI","TRUE"
"655c67287c95b656962438da","male","recherche web","FALSE","FALSE","21/10/2023","30/11/2023","VRAI","TRUE"
"655c60927c95b656962438c4","male","linkedin","TRUE","TRUE","21/10/2023","21/11/2023","VRAI","TRUE"
"655b76cc203e6a22c9ef0781","male","recherche web","FALSE","FALSE","20/10/2023","01/12/2023","VRAI","TRUE"
"655b7467203e6a22c9ef0779","female","autre","TRUE","FALSE","20/10/2023","20/11/2023","VRAI","TRUE"
"65579b14203e6a22c9ef013b","male","bouche à oreille","FALSE","FALSE","17/10/2023","04/12/2023","VRAI","TRUE"
"6557927e203e6a22c9ef011d","male","autre","FALSE","FALSE","17/10/2023","20/11/2023","VRAI","TRUE"
"6555d085203e6a22c9eefea0","female","bouche à oreille","TRUE","FALSE","16/10/2023","16/11/2023","VRAI","TRUE"
"6555ce51203e6a22c9eefe98","male","linkedin","FALSE","TRUE","16/10/2023","16/11/2023","VRAI","TRUE"
"65552a06203e6a22c9eefe21","female","bouche à oreille","FALSE","TRUE","15/10/2023","15/11/2023","VRAI","TRUE"
"6554ea72203e6a22c9eefdf0","female","linkedin","FALSE","FALSE","15/10/2023","15/11/2023","VRAI","TRUE"
"6554dd20203e6a22c9eefdd7","female","autre","FALSE","FALSE","15/10/2023","16/11/2023","VRAI","TRUE"
"6554dba6203e6a22c9eefdcc","male","bouche à oreille","FALSE","FALSE","15/10/2023","17/11/2023","VRAI","TRUE"
"6554a9f6203e6a22c9eefda7","male","bouche à oreille","FALSE","FALSE","15/10/2023","15/11/2023","VRAI","TRUE"
"65549e7b203e6a22c9eefd8e","male","linkedin","TRUE","FALSE","15/10/2023","23/11/2023","VRAI","TRUE"
"655493c0203e6a22c9eefd84","male","recherche web","TRUE","FALSE","15/10/2023","15/11/2023","VRAI","TRUE"
"65537982203e6a22c9eefc2c","female","bouche à oreille","FALSE","FALSE","14/10/2023","14/11/2023","VRAI","TRUE"
"65525690203e6a22c9eefa69","male","autre","TRUE","TRUE","13/10/2023","13/11/2023","VRAI","TRUE"
"65524555203e6a22c9eefa4a","male","bouche à oreille","FALSE","FALSE","13/10/2023","01/12/2023","VRAI","TRUE"
"6552353c72811d2ae603e4a6","male","autre","FALSE","FALSE","13/10/2023","29/11/2023","VRAI","TRUE"
"6552353872811d2ae603e4a4","female","bouche à oreille","TRUE","TRUE","13/10/2023","21/11/2023","VRAI","TRUE"
"6551fe6372811d2ae603e418","female","bouche à oreille","TRUE","TRUE","13/10/2023","13/11/2023","VRAI","TRUE"
"6551d14c72811d2ae603e37c","female","linkedin","TRUE","FALSE","13/10/2023","22/11/2023","VRAI","TRUE"
"6551201672811d2ae603e241","female","bouche à oreille","FALSE","FALSE","12/10/2023","21/11/2023","VRAI","TRUE"
"65509a3172811d2ae603e0e3","female","linkedin","TRUE","FALSE","12/10/2023","12/11/2023","VRAI","TRUE"
"654e4cc272811d2ae603de76","female","bouche à oreille","TRUE","FALSE","10/10/2023","10/11/2023","VRAI","TRUE"
"654e196172811d2ae603de39","male","linkedin","FALSE","FALSE","10/10/2023","10/11/2023","VRAI","TRUE"
"654d02b472811d2ae603dc97","male","linkedin","FALSE","FALSE","09/10/2023","10/11/2023","VRAI","TRUE"
"654cef5472811d2ae603dc5f","female","bouche à oreille","FALSE","FALSE","09/10/2023","01/12/2023","VRAI","TRUE"
"654cddc672811d2ae603dc1d","female","bouche à oreille","FALSE","FALSE","09/10/2023","28/11/2023","VRAI","TRUE"
"654bcbe872811d2ae603d9e9","male","autre","FALSE","FALSE","08/10/2023","08/11/2023","VRAI","TRUE"
"654ba0c772811d2ae603d8f0","male","entreprise partenaire","TRUE","FALSE","08/10/2023","20/11/2023","VRAI","TRUE"
"654b447b72811d2ae603d6cf","male","linkedin","TRUE","FALSE","08/10/2023","08/11/2023","VRAI","TRUE"
"654aa4e472811d2ae603d4dd","male","linkedin","FALSE","TRUE","07/10/2023","17/11/2023","VRAI","TRUE"
"654a667b72811d2ae603d47b","male","linkedin","FALSE","FALSE","07/10/2023","07/11/2023","VRAI","TRUE"
"654a4fc272811d2ae603d439","male","bouche à oreille","FALSE","FALSE","07/10/2023","08/11/2023","VRAI","TRUE"
"654a473572811d2ae603d404","male","autre","FALSE","FALSE","07/10/2023","13/11/2023","VRAI","TRUE"
"654a037e72811d2ae603d331","female","linkedin","TRUE","TRUE","07/10/2023","07/11/2023","VRAI","TRUE"
"6549f18f72811d2ae603d25b","female","autre","TRUE","FALSE","07/10/2023","09/11/2023","VRAI","TRUE"
"65490e1f72811d2ae603cfd2","male","linkedin","FALSE","TRUE","06/10/2023","24/11/2023","VRAI","TRUE"
"6548bdef72811d2ae603cefa","male","linkedin","FALSE","FALSE","06/10/2023","06/11/2023","VRAI","TRUE"
"6547647572811d2ae603cd0b","female","autre","FALSE","FALSE","05/10/2023","15/11/2023","VRAI","TRUE"
"654656f272811d2ae603cbf9","female","bouche à oreille","FALSE","FALSE","04/10/2023","16/11/2023","VRAI","TRUE"
"65450aea816ec424b04c587a","female","autre","TRUE","TRUE","03/10/2023","28/11/2023","VRAI","TRUE"
"6543c2e78bc3c608241a0552","male","bouche à oreille","FALSE","FALSE","02/10/2023","02/11/2023","VRAI","TRUE"
"6543bcca8bc3c608241a0541","female","autre","FALSE","FALSE","02/10/2023","02/11/2023","VRAI","TRUE"
"6542ba488bc3c608241a0321","male","bouche à oreille","FALSE","FALSE","01/10/2023","20/11/2023","VRAI","TRUE"
"6541378e8bc3c608241a0058","male","bouche à oreille","TRUE","TRUE","31/10/2023","09/11/2023","VRAI","TRUE"
"65412ba8807b0265e77ec3b3","male","linkedin","FALSE","FALSE","31/10/2023","14/11/2023","VRAI","TRUE"
"65411787807b0265e77ec37c","male","autre","TRUE","FALSE","31/10/2023","31/10/2023","VRAI","TRUE"
"653fd457807b0265e77ec087","male","bouche à oreille","FALSE","FALSE","30/10/2023","31/10/2023","VRAI","TRUE"
"653fc4f8807b0265e77ec04d","male","bouche à oreille","TRUE","TRUE","30/10/2023","16/11/2023","VRAI","TRUE"
"653fb276807b0265e77ec00b","male","bouche à oreille","FALSE","FALSE","30/10/2023","14/11/2023","VRAI","TRUE"
"653f89bc807b0265e77ebf83","male","bouche à oreille","TRUE","FALSE","30/10/2023","14/11/2023","VRAI","TRUE"
"653f82bc807b0265e77ebf79","male","bouche à oreille","FALSE","FALSE","30/10/2023","30/10/2023","VRAI","TRUE"
"653f60a132b0f5614e05ce16","male","linkedin","FALSE","TRUE","30/10/2023","21/11/2023","VRAI","TRUE"
"653defc5737ecd3f92136ac4","male","autre","TRUE","TRUE","29/10/2023","14/11/2023","VRAI","TRUE"
"653cfe0c737ecd3f921367ff","female","bouche à oreille","TRUE","TRUE","28/10/2023","28/10/2023","VRAI","TRUE"
"653b83285b0ddd07d925e5dd","female","linkedin","FALSE","TRUE","27/10/2023","27/10/2023","VRAI","TRUE"
"653ac0815b0ddd07d925e548","female","entreprise partenaire","FALSE","FALSE","26/10/2023","02/11/2023","VRAI","TRUE"
"653abaf05b0ddd07d925e51c","male","bouche à oreille","TRUE","TRUE","26/10/2023","26/10/2023","VRAI","TRUE"
"653a7e315b0ddd07d925e4ad","female","linkedin","FALSE","FALSE","26/10/2023","02/11/2023","VRAI","TRUE"
"653a34d95b0ddd07d925e38e","male","bouche à oreille","FALSE","FALSE","26/10/2023","26/10/2023","VRAI","TRUE"
"65392cd65b0ddd07d925e10a","male","entreprise partenaire","FALSE","FALSE","25/10/2023","06/11/2023","VRAI","TRUE"
"6537a9d25b0ddd07d925dc39","female","autre","FALSE","FALSE","24/10/2023","24/10/2023","VRAI","TRUE"
"6537965f5b0ddd07d925dc00","male","bouche à oreille","TRUE","FALSE","24/10/2023","06/11/2023","VRAI","TRUE"
"653795545b0ddd07d925dbf2","female","parrainage","FALSE","TRUE","24/10/2023","28/11/2023","VRAI","TRUE"
"65376c325b0ddd07d925db31","female","entreprise partenaire","TRUE","TRUE","24/10/2023","24/10/2023","VRAI","TRUE"
"653669085b0ddd07d925d86f","female","linkedin","FALSE","FALSE","23/10/2023","24/10/2023","VRAI","TRUE"
